,actual_phn,expected_phn,actual_score,predicted_score,predicted_score_conf,actual_top_error,predicted_top_error,predicted_top_error_conf,predicted_top_error_validity,word,dx
0,d,d,1,0,0.06636703014373779,delrel,delrel,0.9450728297233582,False,duck,SD
1,ʌ,ʌ,1,1,0.33367300033569336,back,back,0.7203611731529236,False,duck,SD
2,k,k,1,1,0.33663034439086914,cor,pause,0.217970073223114,False,duck,SD
3,k,k,1,1,0.2920459508895874,cor,delrel,0.19645161926746368,False,quack,SD
4,-,w,0,0,0.028382062911987305,round,round,0.35594281554222107,True,quack,SD
5,æ,æ,1,1,0.6639946699142456,lo,front,0.5660532712936401,False,quack,SD
6,k,k,1,1,0.6122437715530396,delrel,delrel,0.48649585247039795,False,quack,SD
7,sʲ,s,0,0,0.33824998140335083,voi,distr,0.37598854303359985,False,scissors,SD
8,ɪ,ɪ,1,1,0.5762269496917725,hi,tense,0.4654478132724762,False,scissors,SD
9,sʲ,z,0,0,0.3490028381347656,son,son,0.7974916696548462,False,scissors,SD
10,ʊ,ɜ˞,0,0,0.70221146941185,round,round,0.4934740662574768,False,scissors,SD
11,sʲ,z,0,0,0.27999383211135864,voi,voi,0.4711748957633972,True,scissors,SD
12,ɔ,ɔ,1,1,0.436814546585083,round,back,0.2558572292327881,False,orange,SD
13,w,ɹ,0,1,0.08667361736297607,syl,syl,0.3749900758266449,False,orange,SD
14,n,n,1,1,0.642443060874939,cor,cor,0.5077180862426758,False,orange,SD
15,d,d,1,0,0.024134278297424316,delrel,delrel,0.8408745527267456,False,orange,SD
16,ʒ,ʒ,1,0,0.1450747847557068,voi,distr,0.4218401610851288,False,orange,SD
17,k,k,1,1,0.1845155954360962,delrel,delrel,0.8326988220214844,False,carrot,SD
18,e,ɛ,0,1,0.5698708295822144,hi,hi,0.4366879463195801,False,carrot,SD
19,j,ɹ,0,0,0.5724628865718842,syl,round,0.22908101975917816,False,carrot,SD
20,sʲ,z,1,0,0.37359505891799927,voi,voi,0.4722527265548706,True,zipper,SD
21,ɪ,ɪ,1,1,0.5418534278869629,hi,tense,0.28713634610176086,False,zipper,SD
22,p,p,1,1,0.2668243646621704,voi,cont,0.3343348801136017,False,zipper,SD
23,œ,ɜ˞,0,0,0.8491807878017426,round,round,0.33362045884132385,False,zipper,SD
24,f,f,1,1,0.34404516220092773,labiodental,labiodental,0.7439896464347839,False,finger,SD
25,i,ɪ,1,1,0.6454803943634033,tense,tense,0.41959843039512634,True,finger,SD
26,ŋ,ŋ,1,1,0.5257605314254761,cont,cont,0.5264760255813599,False,finger,SD
27,ɡ,ɡ,1,1,0.1895914077758789,cont,delrel,0.5439543724060059,False,finger,SD
28,œ,ɜ˞,0,0,0.783490389585495,round,round,0.37954962253570557,False,finger,SD
29,w,w,1,1,0.5145474672317505,round,cons,0.2430703043937683,False,wagon,SD
30,æ,æ,1,1,0.6382126808166504,syl,front,0.5855528712272644,False,wagon,SD
31,ɡ,ɡ,1,1,0.20022690296173096,delrel,delrel,0.5430896282196045,False,wagon,SD
32,n,n,1,1,0.6526793241500854,pause,pause,0.7889161109924316,False,wagon,SD
33,sʲ,ʃ,1,0,0.8605842441320419,ant,ant,0.7486721873283386,True,shovel,SD
34,ʌ,ʌ,1,1,0.2654304504394531,back,back,0.6257717609405518,False,shovel,SD
35,b,v,0,1,0.02145564556121826,labiodental,labiodental,0.5670270323753357,True,shovel,SD
36,ə,ə,1,1,0.11425638198852539,back,lo,0.30984246730804443,False,shovel,SD
